is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,0.008333206176757826,-0.11333338419596356,True,False,買入 (動能增強),25.149999618530273,2026-08-07 00:00:00,24.77849988937378,0.00799999237060689,False,True,0.7746696933093495,False,0.0005686711597268525,72.38500601203467,0.0005683332967749952,0.000578011032620579,0.006258079036691733,-0.5441483530466473,2.9255699645118316,0.006258079036691733,True,False,False,False,False,False,0.39546607782528864,False,-0.02783151130057948,中性,0061.TW,元大寶滬深,2,v1,phase6a,2026-07-12,0,2,4,2,2,2,v1,65,0.8881118881118881,65,0.8881118881118881,112,0.8059440559440559,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.14166704813639325,0.0017242431640624792,True,False,賣出 (動能轉弱),32.849998474121094,2026-08-07 00:00:00,32.79665241241455,-0.024526023864744673,False,True,0.3075896591807137,False,0.0007427772172028151,43.08366940790745,0.0007527610639420945,0.0007676725616947417,-0.13941556282421885,-0.8495641812151122,3.0724910311944242,-0.13941556282421885,False,False,False,False,False,False,0.38426649757382797,False,-0.037626037760814746,中性,1102.TW,亞泥,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,400,0.30244755244755245,400,0.30244755244755245,407,0.2902097902097902,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.03396892547607422,-0.00993156433105468,True,False,賣出 (動能轉弱),13.149999618530273,2026-08-07 00:00:00,13.105799674987793,0.013301038742065785,False,True,0.40594763258611366,False,0.00029733700385297594,39.32694478392843,0.0002997464295235107,0.0003047944645790519,-0.08454123658365731,-0.7322577918707496,5.242176661179032,-0.08454123658365731,False,False,False,False,False,False,0.4294573111100488,False,-0.02230484721109105,中性,1103.TW,嘉泥,0,v1,phase6a,2026-07-12,0,0,2,0,0,0,v1,401,0.3006993006993007,401,0.3006993006993007,408,0.28846153846153844,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.11666679382324217,-0.05833339691162108,True,False,賣出 (動能轉弱),26.600000381469727,2026-08-07 00:00:00,26.72500009536743,-0.02500000000000213,True,False,0.4529810243446859,False,0.0006014573874792403,46.59639742854299,0.0006120733084094407,0.0006271954297237977,-0.18223779757845504,-0.9709992942056656,3.1040325572861516,-0.18223779757845504,False,False,False,False,False,False,0.29184341869349273,False,-0.034482718036263016,中性,1104.TW,環泥,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,402,0.29895104895104896,402,0.29895104895104896,409,0.2867132867132867,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.21666653951009113,-0.14269049962361652,True,False,賣出 (動能轉弱),13.5,2026-08-07 00:00:00,13.745307302474975,-0.014846420288085582,False,False,0.7524700226980339,False,0.0003052509253581112,41.83799653582034,0.00031386351327988696,0.00032352415791598357,-0.28801598310109755,-1.1686095678584696,3.907403874089277,-0.28801598310109755,False,False,False,False,False,False,0.33180373899629334,False,-0.03465523873873355,中性,1109.TW,信大,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,403,0.2972027972027972,403,0.2972027972027972,410,0.28496503496503495,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,1,-0.050000031789143876,0.02500009536743164,True,False,賣出 (動能轉弱),15.899999618530273,2026-08-07 00:00:00,15.954999780654907,0.014999961853026988,False,False,0.664308109388455,False,0.000359517747907406,35.01109003200734,0.0003634086888120062,0.0003623097715873945,-0.11257618709619166,-0.4475252856005918,8.18134887815891,-0.11257618709619166,False,False,True,False,False,False,0.5196374095228998,False,-0.015479876526631853,中性,1110.TW,東泥,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,404,0.29545454545454547,404,0.29545454545454547,411,0.28321678321678323,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-2.2507260640462237,-2.53985595703125,True,False,觀察 (跌勢收斂),75.69999694824219,2026-08-07 00:00:00,74.8765480041504,0.015383529663083095,False,True,1.1879344116605224,False,0.001711666230967194,50.231565759170515,0.001702046879755027,0.0017057099775686297,0.0595263291097492,-0.9521389055712315,5.898594043045402,0.0595263291097492,True,True,False,False,False,True,0.5423418539526682,False,-0.019677004165568723,偏強 (RS上升),1216.TW,統一,1,v1,phase6a,2026-07-12,0,1,3,1,1,1,v1,207,0.6398601398601399,207,0.6398601398601399,225,0.6083916083916084,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.12500031789143878,-0.10818735758463541,True,False,賣出 (動能轉弱),11.149999618530273,2026-08-07 00:00:00,11.264912176132203,-0.009868431091307528,True,False,0.42767860293035215,False,0.00025211464454066314,38.9916201849352,0.00025800743170050703,0.0002690716139646474,-0.2398402510949027,-1.0110434719697747,2.3868435899282447,-0.2398402510949027,False,False,False,False,False,False,0.22046778667671604,False,-0.05424109170574498,中性,1220.TW,台榮,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,405,0.2937062937062937,405,0.2937062937062937,412,0.28146853146853146,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.2833340962727865,-0.28333409627278644,True,False,賣出 (動能轉弱),40.650001525878906,2026-08-07 00:00:00,40.70500011444092,0.027500152587890625,False,False,0.519782390247131,False,0.000919144487524679,36.004776925047146,0.0009282710717191343,0.0009401502606558004,-0.10338573319385036,-0.8288455475085277,6.01234438343432,-0.10338573319385036,False,False,False,False,False,False,0.5168587387754059,False,-0.043529375861672825,中性,1229.TW,聯華,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,406,0.291958041958042,406,0.291958041958042,413,0.27972027972027974,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.14166704813639322,-0.050000508626302065,True,False,賣出 (動能轉弱),33.45000076293945,2026-08-07 00:00:00,33.677499771118164,0.012500000000002842,False,False,0.7366537248607995,False,0.0007563439767493921,42.201679278615096,0.0007696328723910096,0.0007843968359883473,-0.1814232947620953,-0.7148146053423732,5.480438167400781,-0.1814232947620953,False,False,False,False,False,False,0.3731705878998595,False,-0.02049782523169119,中性,1234.TW,黑松,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,407,0.2902097902097902,407,0.2902097902097902,414,0.27797202797202797,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.24166615804036465,-0.16666666666666669,True,False,賣出 (動能轉弱),36.70000076293945,2026-08-07 00:00:00,36.6475004196167,0.03500003814696839,False,True,0.04491191950721413,False,0.0008298303106319003,18.796823953655856,0.0008410399555180498,0.000888200868292349,-0.14010148586889315,-0.849512282117082,3.358150695885298,-0.14010148586889315,False,False,False,False,False,False,0.2520295529972175,False,-0.10705590935610687,中性,1235.TW,興泰,0,v1,phase6a,2026-07-12,0,0,2,0,0,0,v1,408,0.28846153846153844,408,0.28846153846153844,415,0.2762237762237762,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-4.166666666666666,-5.416666666666666,True,False,觀察 (跌勢收斂),178.5,2026-08-07 00:00:00,183.5,-0.9499999999999886,True,False,0.4978470737353144,False,0.004036095568623914,56.04109098904098,0.004170247571499722,0.004153673288644901,-0.33747654706317576,-0.7646238286486251,3.390800471629607,-0.33747654706317576,False,False,True,False,False,False,0.4615911262295038,False,-0.11881950406208452,中性,1256.TW,鮮活果汁-KY,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,208,0.6381118881118881,208,0.6381118881118881,226,0.6066433566433567,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.25,-0.15000025431315106,True,False,賣出 (動能轉弱),60.0,2026-08-07 00:00:00,59.20999984741211,0.054999923706049,False,True,0.4176298994411075,False,0.001356670779369383,43.51605902222682,0.0013509950998228056,0.0013619443666990027,0.04424177929400752,-0.38037792215653843,7.27323846731236,0.04424177929400752,True,False,False,False,False,False,0.5450001696411628,False,-0.013157882353605488,中性,1259.TWO,安心,0,v1,phase6a,2026-07-12,0,0,2,0,0,0,v1,409,0.2867132867132867,409,0.2867132867132867,416,0.2744755244755245,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-2.3333326975504556,-2.466666539510091,True,False,觀察 (跌勢收斂),64.4000015258789,2026-08-07 00:00:00,65.96999950408936,-0.22999992370604616,False,False,0.14430315160095292,False,0.0014561600043583932,34.45481554861188,0.001513428083434156,0.001596290636381578,-0.3967352559608228,-2.4730173865436855,-3.8518557871254244,-0.3967352559608228,False,False,False,False,False,False,0.10011633390249507,False,-0.18789408515096673,中性,1269.TWO,乾杯,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,209,0.6363636363636364,209,0.6363636363636364,227,0.6048951048951049,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.32312393188476557,-0.8408991495768228,True,False,觀察 (跌勢收斂),62.099998474121094,2026-08-07 00:00:00,60.57913990020752,-0.017879867553709516,True,True,0.2891616454660418,False,0.0014041542221453894,34.45240041629931,0.0013896979027747788,0.0014201852956577912,0.10961993477394127,0.06774637821502782,2.045039761819334,0.10961993477394127,True,False,False,False,False,True,0.4756040690872071,False,-0.07985993237857547,偏強 (RS上升),1271.TWO,晨暉生技,1,v1,phase6a,2026-07-12,1,2,2,2,1,2,v1,210,0.6346153846153846,210,0.6346153846153846,211,0.6328671328671329,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,1,-0.5,-0.8166662851969401,True,False,觀察 (跌勢收斂),56.599998474121094,2026-08-07 00:00:00,56.33500003814697,-0.12000007629394815,True,True,1.4299804488021244,False,0.0012797927340365293,22.701125605028036,0.0013020634270842681,0.0013902553820186977,-0.1797201488250577,-1.067045078174933,-3.3974398381379833,-0.1797201488250577,False,False,False,False,False,False,0.09796272547321273,False,-0.14183957677500314,中性,1294.TWO,漢田生技,1,v1,phase6a,2026-07-12,0,1,2,1,1,1,v1,211,0.6328671328671329,211,0.6328671328671329,228,0.6031468531468531,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
True,0,-0.7333335876464844,-0.7166665395100912,True,False,賣出 (動能轉弱),63.900001525878906,2026-08-07 00:00:00,63.930000114440915,0.015000152587887783,False,False,0.061220162085911065,False,0.001444854414530315,50.29723999349677,0.0014577842809933115,0.001470648837490225,-0.09327642399969971,-0.5804853808386801,5.757648306493368,-0.09327642399969971,False,False,False,False,False,False,0.49861656634339585,False,-0.01692305344801681,中性,1315.TW,達新,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,410,0.28496503496503495,410,0.28496503496503495,417,0.2727272727272727,^TWII,yfinance,2y,2026-08-07,scan_20260807_115629,False,False
