is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
False,0,0.26833343505859375,0.29333337148030597,False,True,強烈買入 (爆發),24.389999389648438,2026-08-20 00:00:00,24.814999961853026,-0.04200000762939737,False,False,0.2463930641132626,False,0.0005427992489070495,73.42882073372674,0.000558484904169287,0.0005727937966524226,-0.29477154308443776,-1.609903961401704,-0.501782670887585,-0.29477154308443776,False,False,False,False,False,False,0.08347944135984282,False,-0.0572091767133015,中性,0061.TW,元大寶滬深,3,v1,phase6a,2026-07-12,0,3,3,3,3,3,v1,45,0.9236111111111112,45,0.9236111111111112,60,0.8975694444444444,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
True,0,0.10000038146972653,-0.09999942779541018,True,False,買入 (動能增強),24.799999237060547,2026-08-20 00:00:00,24.24499969482422,0.039999961853027344,False,True,1.6397014808023425,True,0.0005519237923591396,40.59223264504797,0.0005432419548897782,0.0005510820413088961,0.16851010793479393,-0.7554651828043046,2.7430837643477313,0.16851010793479393,True,True,False,False,False,True,0.5258433600471564,False,0.0,偏強 (RS上升),1101.TW,台泥,4,v1,phase6a,2026-07-12,0,4,6,4,4,4,v1,9,0.9861111111111112,9,0.9861111111111112,16,0.9739583333333334,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,True
True,0,-0.2500003178914388,-0.3166669209798177,True,False,觀察 (跌勢收斂),26.799999237060547,2026-08-20 00:00:00,26.654999923706054,0.01249999999999929,False,True,1.46927899732792,False,0.0005964337769832002,49.868080805611065,0.0005987534991414927,0.0006185631117416047,-0.0407649791980047,-1.2651303773026812,-0.7391139486409015,-0.0407649791980047,False,False,False,False,False,True,0.24719515406546727,False,-0.027223231243908463,中性,1104.TW,環泥,1,v1,phase6a,2026-07-12,0,1,3,1,1,1,v1,260,0.5503472222222222,260,0.5503472222222222,263,0.5451388888888888,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
True,0,-0.04166666666666665,-0.09166669845581055,True,False,觀察 (跌勢收斂),13.199999809265137,2026-08-20 00:00:00,13.144999837875366,0.0049999713897701525,False,True,1.3053160700932194,False,0.00029376589427399695,39.66941838878128,0.00029482992847481356,0.00030190206610429863,-0.03797479703819828,-1.0830428756568033,0.6551019573391992,-0.03797479703819828,False,False,False,False,False,True,0.36645589737093165,False,-0.018587360858383528,中性,1103.TW,嘉泥,1,v1,phase6a,2026-07-12,0,1,3,1,1,1,v1,259,0.5520833333333334,259,0.5520833333333334,262,0.546875,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
True,0,0.05000034968058269,0.08333349227905275,True,False,觀望 (動能減弱),16.0,2026-08-20 00:00:00,16.047499799728392,-0.0024999618530294754,True,False,0.33950197715804875,False,0.0003560798769924847,36.28228168925412,0.00035966537297416556,0.00036177640415659194,-0.10482660293597013,-1.2686581379983464,1.9475415535904261,-0.10482660293597013,False,False,False,False,False,True,0.4752601646780257,False,-0.036144600462750365,中性,1110.TW,東泥,2,v1,phase6a,2026-07-12,0,2,2,2,2,2,v1,87,0.8506944444444444,87,0.8506944444444444,103,0.8229166666666666,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,True
True,0,0.0666667620340983,1.589457193987287e-07,True,False,買入 (動能增強),12.449999809265137,2026-08-20 00:00:00,12.22249994277954,0.0025000095367424535,False,True,1.056760953614271,False,0.00027707465003997425,36.240531667110815,0.00027531414019469583,0.0002851690138943977,0.06735638365680252,-0.7765849083660181,-0.756452431302912,0.06735638365680252,True,False,False,False,False,True,0.38145686801733103,False,-0.0031363385208315053,中性,1201.TW,味全,2,v1,phase6a,2026-07-12,0,2,4,2,2,2,v1,88,0.8489583333333334,88,0.8489583333333334,104,0.8211805555555556,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
True,0,0.7999998728434244,0.44166628519694007,True,False,買入 (動能增強),42.04999923706055,2026-08-20 00:00:00,40.97000026702881,-0.022500038146972656,False,True,1.4082827122828812,False,0.0009358224097416621,39.30044789339606,0.0009215344472448003,0.0009356329119880603,0.1634724209782279,-0.5764446336505302,1.3851623226094123,0.1634724209782279,True,True,False,False,False,True,0.5955827130408946,False,-0.010588253245634172,偏強 (RS上升),1229.TW,聯華,2,v1,phase6a,2026-07-12,0,2,3,2,2,2,v1,89,0.8472222222222222,89,0.8472222222222222,105,0.8194444444444444,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
True,0,0.5299097696940103,0.16063563028971345,True,False,買入 (動能增強),82.4000015258789,2026-08-20 00:00:00,81.13775329589843,0.01459388732909872,False,True,0.6118991666667503,False,0.0018338114004697195,47.27965061615801,0.0018222382685952544,0.001850146654060048,0.06689791316285554,-0.41984935418623026,1.8746992371982962,0.06689791316285554,True,False,False,False,False,True,0.4902038239466303,False,-0.01787842637329784,中性,1231.TW,聯華食,4,v1,phase6a,2026-07-12,0,4,6,4,4,4,v1,10,0.984375,10,0.984375,17,0.9722222222222222,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,True
True,1,0.33333333333333337,-0.24999999999999994,True,False,買入 (動能增強),156.5,2026-08-20 00:00:00,154.525,0.22499999999999432,False,True,0.3796766402640565,False,0.0034829062968327407,58.90936606745615,0.0034678836516223864,0.0034688786817151647,0.0456201141314283,-0.8949726485589005,1.5339904414515049,0.0456201141314283,True,True,False,False,False,False,0.5218941258296655,False,-0.07121661721068251,中性,1232.TW,大統益,2,v1,phase6a,2026-07-12,0,2,4,2,2,2,v1,90,0.8454861111111112,90,0.8454861111111112,106,0.8177083333333334,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
True,0,-0.2583332061767578,-0.27499961853027344,True,False,觀察 (跌勢收斂),33.5,2026-08-20 00:00:00,33.65499992370606,-0.004999923706051845,False,False,0.3267228895197972,False,0.0007455422424530148,43.502716477060645,0.0007545362946609518,0.0007754355894847122,-0.12531616082854802,-1.2201781443446524,0.2840509501800703,-0.12531616082854802,False,False,False,False,False,False,0.30466199469265676,False,-0.019033718794604915,中性,1234.TW,黑松,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,261,0.5486111111111112,261,0.5486111111111112,264,0.5434027777777778,^TWII,yfinance,2y,2026-08-20,scan_20260820_113708,False,False
