is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,marketCap,trailingPE,priceToBook,dividendYield,averageVolume,sector,error,value_score,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,0.029998779296875,0.1999988555908203,True,False,觀望 (動能減弱),42.099998474121094,2026-07-29 00:00:00,42.27949962615967,0.020499992370609732,False,False,1.8785695386292942,True,0.001051470055148619,87.99067599618051,0.0009601161595500961,0.000923705776086853,1.0116990995508335,2.905901261875554,6.90344011033559,1.0116990995508335,True,True,True,True,True,True,1.0,True,-0.031293157823315765,強勢 (RS強勁),0055.TW,元大MSCI金融,nan,16.921717,nan,2.97,630343.0,nan,nan,0.5231080241222229,0,v1,phase6a,2026-07-12,3,3,1,3,0,3,v1,259,0.5520833333333334,259,0.5520833333333334,175,0.6979166666666666,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.07666651407877605,-0.1616668701171875,True,False,觀察 (跌勢收斂),24.700000762939453,2026-07-29 00:00:00,24.898499965667725,-0.058500003814696555,False,False,1.163794177394642,False,0.0006168957744818796,81.09833851806552,0.0005671571782563748,0.0005799048322735346,0.9317389292653688,1.957190599053238,1.5472817458280552,0.9317389292653688,True,True,False,False,False,True,0.9698446574016165,False,-0.04522613213524018,偏強 (RS上升),0061.TW,元大寶滬深,nan,20.224634,nan,0.0,300452.0,nan,nan,0.33676066502300445,1,v1,phase6a,2026-07-12,1,2,1,2,1,2,v1,124,0.7864583333333334,124,0.7864583333333334,186,0.6788194444444444,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.2082265218098958,0.17959372202555335,True,False,買入 (動能增強),13.199999809265137,2026-07-29 00:00:00,13.076248264312744,0.01820473670959366,False,True,1.8084821534488194,True,0.00032967707910824405,43.50878909373019,0.0002988645258415691,0.000305597316190137,1.0971566876064154,2.923552936375007,4.170904340859649,1.0971566876064154,True,True,False,True,False,True,1.0,True,-0.018587360858383528,強勢 (RS強勁),1103.TW,嘉泥,8695566336.0,15.714286,0.47898975,3.88,383559.0,Basic Materials,nan,0.7446785533685074,2,v1,phase6a,2026-07-12,2,4,4,4,2,4,v1,36,0.9392361111111112,36,0.9392361111111112,43,0.9270833333333334,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,1,-0.004749615987141926,-0.012571016947428385,True,False,觀察 (跌勢收斂),13.850000381469727,2026-07-29 00:00:00,13.79688582420349,0.009692811965942738,False,True,1.016653027271367,False,0.00034591119222638863,47.71032438031247,0.00031434049423783027,0.0003258067374544773,1.0685038304768302,2.26317218857941,3.5711997533946604,1.0685038304768302,True,True,False,False,False,True,0.9180246364384289,False,-0.04796480765782851,偏強 (RS上升),1109.TW,信大,4725050880.0,13.446603,0.5583327,6.57,181246.0,Basic Materials,nan,0.8716815027570192,1,v1,phase6a,2026-07-12,1,2,3,2,1,2,v1,125,0.7847222222222222,125,0.7847222222222222,187,0.6770833333333334,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.3827061653137207,0.3910395304361979,True,False,觀望 (動能減弱),16.049999237060547,2026-07-29 00:00:00,15.817922973632813,0.0420767784118663,False,True,1.5908848488093439,True,0.00040085734428948013,39.077504951123686,0.0003599238698833759,0.00036069897464290616,1.2116434269275445,3.116485834997751,8.332506922524052,1.2116434269275445,True,True,False,True,False,True,1.0,True,-0.006191974231069763,強勢 (RS強勁),1110.TW,東泥,9155930112.0,44.58333,0.96558774,1.89,275207.0,Basic Materials,nan,0.4215922148891919,2,v1,phase6a,2026-07-12,2,4,4,4,2,4,v1,37,0.9375,37,0.9375,44,0.9253472222222222,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,True
True,0,0.022786140441894528,0.046257972717285156,True,False,觀望 (動能減弱),12.25,2026-07-29 00:00:00,12.34603762626648,0.005250978469849343,False,False,1.5256870198383743,True,0.00030595032404783206,39.00355861704085,0.00028077238134761737,0.0002914474038154235,0.952930395911622,2.0952553103936067,4.454855964375071,0.952930395911622,True,True,False,True,False,True,1.0,True,-0.019150197574131167,強勢 (RS強勁),1201.TW,味全,6199271936.0,30.625,0.7973184,1.73,488858.0,Consumer Defensive,nan,0.47486137832437864,0,v1,phase6a,2026-07-12,2,2,1,2,0,2,v1,260,0.5503472222222222,260,0.5503472222222222,267,0.5381944444444444,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.23333358764648438,-0.2000001271565755,True,False,賣出 (動能轉弱),57.20000076293945,2026-07-29 00:00:00,57.64500007629395,0.07000007629394389,False,False,1.346631250517867,False,0.0014286007158332708,59.95826748396594,0.0013039432101600566,0.0013028891699343897,1.0165498521525151,2.5850285079641155,7.609410235593428,1.0165498521525151,True,True,True,True,False,True,1.0,True,-0.027210858756485212,強勢 (RS強勁),1210.TW,大成,47859658752.0,13.240741,1.9027976,5.22,3400615.0,Consumer Defensive,nan,0.6428295936708617,0,v1,phase6a,2026-07-12,3,3,1,3,0,3,v1,261,0.5486111111111112,261,0.5486111111111112,176,0.6961805555555556,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.06500021616617838,-0.08666674296061198,True,False,觀察 (跌勢收斂),9.979999542236328,2026-07-29 00:00:00,9.998499822616576,0.006999969482421875,False,False,1.7434849543627946,True,0.00024925584440362616,46.22104115705787,0.00022702146368544726,0.0002324574526880741,1.041681807358552,2.3347883630522315,4.567167752148071,1.041681807358552,True,True,False,True,False,True,1.0,True,-0.02156865403359831,強勢 (RS強勁),1217.TW,愛之味,4935243776.0,23.761904,0.66520023,2.51,668873.0,Consumer Defensive,nan,0.5802636777764413,1,v1,phase6a,2026-07-12,2,3,2,3,1,3,v1,126,0.7829861111111112,126,0.7829861111111112,130,0.7760416666666666,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,1.031622568766276,0.8655980428059894,True,False,買入 (動能增強),40.900001525878906,2026-07-29 00:00:00,40.72463684082031,0.030220794677731533,False,True,0.8698657922792944,False,0.0010214994873795492,40.99266021567178,0.0009279641716548841,0.00094240066970077,1.0723914535802015,3.478578964750545,6.43720954471374,1.0723914535802015,True,True,False,True,False,True,1.0,True,-0.037647022920496376,強勢 (RS強勁),1229.TW,聯華,74622861312.0,16.23016,1.3419076,4.4,3838583.0,Industrials,nan,0.628155782924899,2,v1,phase6a,2026-07-12,2,4,4,4,2,4,v1,38,0.9357638888888888,38,0.9357638888888888,45,0.9236111111111112,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.3499991099039713,0.13333257039388022,True,False,買入 (動能增強),37.400001525878906,2026-07-29 00:00:00,36.55750045776367,-0.004999923706051845,False,True,1.316655694535879,False,0.0009340851090801686,25.656657489169632,0.0008388602933866722,0.0008991350264283122,1.209365569069143,2.174160820983251,0.3863655708280067,1.209365569069143,True,True,False,False,False,True,0.4962889694709176,False,-0.18340606661810843,偏強 (RS上升),1235.TW,興泰,1700204032.0,nan,0.5930107,1.36,34216.0,Consumer Defensive,nan,0.5514893280001919,2,v1,phase6a,2026-07-12,1,3,3,3,2,3,v1,39,0.9340277777777778,39,0.9340277777777778,86,0.8524305555555556,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
