is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,-0.11333338419596356,-0.09499994913736981,True,False,賣出 (動能轉弱),24.770000457763672,2026-08-06 00:00:00,24.770499897003173,-0.01099996566772532,False,False,0.9738895307468078,False,0.0005579243703618081,68.4501438685073,0.000568297732253747,0.0005783276411917574,-0.19177250619193398,-0.4442477015076163,2.8958357715515692,-0.19177250619193398,False,False,False,False,False,False,0.2674665978531498,False,-0.04252030714283972,中性,0061.TW,元大寶滬深,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,322,0.373046875,322,0.373046875,342,0.333984375,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
True,0,0.0017242431640624792,0.06949234008789056,True,False,觀望 (動能減弱),32.95000076293945,2026-08-06 00:00:00,32.8211784362793,-0.019525909423826704,True,True,0.3972092213295907,False,0.0007421723088148797,41.34359346089763,0.0007538119951778081,0.0007685164784401385,-0.1622741372711456,-0.62710184471374,3.287634988875765,-0.1622741372711456,False,False,False,False,False,True,0.38006306625145286,False,-0.0346963694687773,中性,1102.TW,亞泥,2,v1,phase6a,2026-07-12,0,2,3,2,2,2,v1,53,0.8984375,53,0.8984375,110,0.787109375,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,True
True,0,-0.00993156433105468,0.03942648569742837,True,False,賣出 (動能轉弱),13.0,2026-08-06 00:00:00,13.092498636245727,0.0058010578155514025,False,False,0.4178734544380933,False,0.0002928145611894888,37.28430364056036,0.00030000005327830383,0.00030504726264571173,-0.25148842578885944,-0.5842340453919737,5.3022784185909,-0.25148842578885944,False,False,False,False,False,True,0.34967250612088047,False,-0.03345723536405931,中性,1103.TW,嘉泥,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,323,0.37109375,323,0.37109375,343,0.33203125,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
True,0,-0.05833339691162108,-0.02500025431315104,True,False,賣出 (動能轉弱),26.450000762939453,2026-08-06 00:00:00,26.750000095367433,-0.03249998092651296,True,False,0.7108625437452593,False,0.0005957650282201353,45.53014676595119,0.0006131907737705144,0.0006280679074177888,-0.29824622057258443,-0.7318733848758585,3.3631510677070153,-0.29824622057258443,False,False,False,False,False,True,0.24125152611769504,False,-0.0399273504385933,中性,1104.TW,環泥,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,324,0.369140625,324,0.369140625,344,0.330078125,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
True,0,-0.14269049962361652,-0.07602373758951822,True,False,賣出 (動能轉弱),13.550000190734863,2026-08-06 00:00:00,13.76015372276306,-0.012346410751343129,False,False,0.5396336459609383,False,0.00030520287384365523,40.85484810860738,0.0003147701014821792,0.0003241435911855703,-0.318920005449963,-0.8021126220577712,4.285326241164267,-0.318920005449963,False,False,False,False,False,False,0.3310140776200155,False,-0.05020332962836871,中性,1109.TW,信大,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,325,0.3671875,325,0.3671875,345,0.328125,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
True,1,0.02500009536743164,0.1249998410542806,True,False,觀望 (動能減弱),15.800000190734863,2026-08-06 00:00:00,15.93999981880188,0.009999990463256836,False,False,1.3919672782658152,False,0.00035588231712645137,34.745034793236435,0.00036381826153880626,0.0003624044162122363,-0.22908385231706907,-0.06167012715568854,8.57650150073539,-0.22908385231706907,False,False,True,False,False,False,0.47963412909908826,False,-0.021671791706659005,中性,1110.TW,東泥,2,v1,phase6a,2026-07-12,0,2,3,2,2,2,v1,54,0.896484375,54,0.896484375,111,0.78515625,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,True
False,0,-0.2652769088745117,-0.19902531305948892,False,True,強烈賣出 (跌破),12.0,2026-08-06 00:00:00,12.303332042694091,-0.012166023254394531,False,False,1.2356687315482604,False,0.0002702903641749127,33.04849905889091,0.00028060650863612717,0.00028967771562080297,-0.3854949127711671,-1.0573735364808767,4.650478429934579,-0.3854949127711671,False,False,False,False,False,False,0.2559789496037929,False,-0.039167540480781526,中性,1201.TW,味全,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,326,0.365234375,326,0.365234375,346,0.326171875,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
False,0,-2.53985595703125,-1.9968910217285154,False,True,強烈賣出 (跌破),73.0,2026-08-06 00:00:00,74.86116447448731,-0.1196163177490206,False,False,1.016295394739782,False,0.0016442663820640524,46.100615643470206,0.0017010343164695358,0.0017055080858105682,-0.3500607748611495,-1.0528593212522752,6.218509335632216,-0.3500607748611495,False,False,False,False,False,False,0.3723820802131629,False,-0.05464225124284838,中性,1216.TW,統一,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,327,0.36328125,327,0.36328125,347,0.32421875,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
False,0,-0.12000004450480142,-0.08666674296061197,False,True,強烈賣出 (跌破),9.779999732971191,2026-08-06 00:00:00,9.938999843597411,-0.010500001907349343,False,False,0.8245084242270891,False,0.00022028664078794436,41.743157268898536,0.00022721098442673375,0.00023171635808474429,-0.3197677971370161,-0.8273803704508587,4.372710484394227,-0.3197677971370161,False,False,False,False,False,False,0.3118724042831558,False,-0.04117647883801323,中性,1217.TW,愛之味,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,328,0.361328125,328,0.361328125,348,0.322265625,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
True,0,-0.10818735758463541,-0.0747076670328776,True,False,賣出 (動能轉弱),11.149999618530273,2026-08-06 00:00:00,11.27478060722351,-0.009868431091309304,True,False,0.9062615641234324,False,0.0002511447881202238,38.169255823475126,0.00025862772508575374,0.0002696464275703258,-0.3036356234976556,-0.8091459142921198,2.5558618218061824,-0.3036356234976556,False,False,False,False,False,False,0.2016194932336558,False,-0.062057356902564864,中性,1220.TW,台榮,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,329,0.359375,329,0.359375,349,0.3203125,^TWII,yfinance,2y,2026-08-06,scan_20260806_130908,False,False
