is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,-0.058333396911621066,-0.21666653951009113,True,False,觀察 (跌勢收斂),25.299999237060547,2026-09-02 00:00:00,24.687500190734863,0.05000000000000071,False,True,1.026476883161301,False,0.0005480375473328438,42.28096048499721,0.0005452272948235272,0.0005878881506102987,0.05428500006643411,-1.0449848883985813,-5.3845559944882275,0.05428500006643411,True,False,False,False,False,True,0.15165274135372048,False,-0.12758623320480877,中性,6910.TWO,德鴻,1,v1,phase6a,2026-07-12,0,1,3,1,1,1,v1,389,0.5069885641677255,389,0.5069885641677255,393,0.5019059720457433,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,1,-1.6749992370605467,-1.433331807454427,True,False,賣出 (動能轉弱),48.599998474121094,2026-09-02 00:00:00,49.84500007629394,-0.03750000000000142,False,False,0.7124376663843127,False,0.001052751967087877,86.95141788392709,0.001112399105426182,0.0012625081476280169,-0.5612560124735766,-2.2349234363536086,-13.706386052139585,-0.5612560124735766,False,False,False,False,False,False,0.0034680282371196036,False,-0.49845203602869315,中性,6127.TWO,九豪,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,664,0.15756035578144853,664,0.15756035578144853,668,0.15247776365946633,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,0,-4.333333333333333,-4.916666666666666,True,False,觀察 (跌勢收斂),284.5,2026-09-02 00:00:00,284.65,-1.125,False,False,0.3775808045213156,False,0.006162714897943573,65.48772583636651,0.006314472302497276,0.006798217849794596,-0.2523433847147927,-1.7954341416188013,-10.023926723645182,-0.2523433847147927,False,False,False,False,False,False,0.06370564178693708,False,-0.17416545718432508,中性,3526.TWO,凡甲,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,303,0.6162642947903431,303,0.6162642947903431,310,0.6073697585768743,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,0,-0.5416669845581055,-0.525000254313151,True,False,賣出 (動能轉弱),26.200000762939453,2026-09-02 00:00:00,26.320000171661377,0.007500076293943891,False,False,1.1181918393830355,False,0.0005675329877957818,29.82743386938134,0.0005799590525408981,0.0006195524831635664,-0.22502682617594472,-1.9085664604730601,-6.231297968110683,-0.22502682617594472,False,False,False,False,False,False,0.11535579185791153,False,-0.12620815250922257,中性,4164.TW,承業醫,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,599,0.24015247776365947,599,0.24015247776365947,607,0.22998729351969505,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,0,0.699999491373698,-1.7333348592122395,True,False,買入 (動能增強),99.5,2026-09-02 00:00:00,93.2599998474121,0.15499992370604332,False,True,3.38018291729595,True,0.002155325596996083,64.32735481858192,0.002076211319960949,0.0024218714112461542,0.40272184723839644,-0.8132007770636829,-9.39492908254257,0.40272184723839644,True,False,False,False,False,True,0.18532394939664346,False,-0.25187969924812026,中性,6854.TW,錼創科技-KY創,2,v1,phase6a,2026-07-12,0,2,4,2,2,2,v1,218,0.7242693773824651,218,0.7242693773824651,225,0.7153748411689962,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,0,3.965272267659505,2.6177825927734375,True,False,買入 (動能增強),125.5,2026-09-02 00:00:00,122.29158935546874,0.19459152221679688,False,True,0.54027254131067,False,0.0027185262555076218,60.49232793289164,0.0026877660925560968,0.0026938787338314247,0.12061381634782542,0.8322371763974212,0.7334645119223326,0.12061381634782542,True,True,False,False,False,True,0.5584078524440186,False,-0.055261903145589875,偏強 (RS上升),2476.TW,鉅祥,4,v1,phase6a,2026-07-12,1,5,6,5,4,5,v1,12,0.9860228716645489,12,0.9860228716645489,5,0.9949174078780177,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,True
True,0,-0.8166656494140625,-0.5333321889241536,True,False,賣出 (動能轉弱),44.70000076293945,2026-09-02 00:00:00,45.58000011444092,-0.06499996185302592,False,False,0.436370301178798,False,0.0009682719178905309,127.25836431959948,0.0009935812834695416,0.0010631015432099756,-0.26741841642450304,-0.8013910604363739,0.40416761090236175,-0.26741841642450304,False,False,False,False,False,False,0.2557516163768408,False,-0.2715031868604154,中性,8110.TW,華東,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,749,0.04955527318932656,749,0.04955527318932656,750,0.048284625158831,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,0,0.04999796549479167,0.18333180745442712,True,False,觀望 (動能減弱),71.69999694824219,2026-09-02 00:00:00,71.64000015258789,0.024999999999991473,False,True,0.8113672772863412,False,0.0015531340575586673,73.45916987812376,0.0015769767056913278,0.0016041852056532142,-0.15889673647434543,-1.15735175992272,-3.5129115289665003,-0.15889673647434543,False,False,False,False,False,False,0.3462440450961092,False,-0.025815238658557504,中性,6951.TW,青新-創,2,v1,phase6a,2026-07-12,0,2,4,2,2,2,v1,226,0.7141041931385006,226,0.7141041931385006,231,0.7077509529860229,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,True
True,0,2.25,1.9166666666666667,True,False,買入 (動能增強),112.5,2026-09-02 00:00:00,110.65,0.2750000000000057,False,True,0.37177514768449715,False,0.002436925926251852,63.264047369517975,0.0024268338645234947,0.0024174377014377353,0.04379317131473215,-0.04977825652116019,1.7083525135329403,0.04379317131473215,True,True,True,False,False,False,0.7573520487010899,False,-0.008810572687224627,中性,3029.TW,零壹,2,v1,phase6a,2026-07-12,1,3,4,3,2,3,v1,150,0.8106734434561627,150,0.8106734434561627,97,0.8780177890724269,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
True,1,0.22499974568684894,0.2416667938232422,True,False,觀望 (動能減弱),32.70000076293945,2026-09-02 00:00:00,32.71500015258789,-0.02999992370605753,False,False,2.8594789028848577,True,0.0007083331524236667,23.863421516307323,0.0007266121819844619,0.0007857416174080436,-0.2641060438968168,-1.4159267626604577,-8.524005616429985,-0.2641060438968168,False,False,False,False,False,False,0.0496372221330906,False,-0.15064933083274146,中性,6875.TWO,國邑*,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,716,0.09148665819567979,716,0.09148665819567979,717,0.09021601016518424,^TWII,yfinance,2y,2026-09-02,scan_20260902_151612,False,False
